directory,file_name,variable_name,variable_type,description
data,portawaterperu.rda,nombre,character,
data,portawaterperu.rda,ID,double,
data,portawaterperu.rda,pais,character,
data,portawaterperu.rda,divisiones,character,
data,portawaterperu.rda,latitud,double,
data,portawaterperu.rda,longitud,double,
data,portawaterperu.rda,altitud,double,
data,portawaterperu.rda,año,double,
data,portawaterperu.rda,comunidades,character,
data,portawaterperu.rda,PSE,character,
data,portawaterperu.rda,pob_servida,double,
data,portawaterperu.rda,viv_servidas,double,
data,portawaterperu.rda,tipo_gravedad,character,
data,portawaterperu.rda,tipo_bombeo,character,
data,portawaterperu.rda,tipo_pozo_manual,character,
data,portawaterperu.rda,tipo_agua_lluvia,character,
data,portawaterperu.rda,agua_epoca_seca,character,
data,portawaterperu.rda,agua_epoca_lluvia,character,
